,participant,Scene type,Type,Scene number,SS Latency,BP Latency
587,9,Video,G,15,106407.0,108288.0
588,9,Video,AG,4,111609.0,112989.0
589,9,Video,AG,7,116892.0,118338.0
590,9,Video,control,16,122652.0,123639.0
591,9,Video,AG,12,127962.0,129282.0
592,9,Video,G,1,133557.0,135267.0
593,9,Video,AG,9,139284.0,140289.0
594,9,Video,control,16,144717.0,145524.0
595,9,Video,AG,14,154374.0,154983.0
596,9,Video,AG,4,159837.0,160974.0
597,9,Video,A,6,165453.0,166338.0
598,9,Video,A,11,175557.0,176094.0
599,9,Video,A,5,180513.0,181617.0
600,9,Video,AG,12,187062.0,189279.0
601,9,Video,AG,7,192747.0,194007.0
602,9,Video,AG,13,202674.0,203397.0
603,9,Video,A,3,207648.0,208602.0
604,9,Video,AG,2,213732.0,0.0
605,9,Video,G,15,220284.0,221859.0
606,9,Video,G,10,225768.0,227304.0
607,9,Video,A,8,235608.0,236271.0
608,20,Video,AG,14,39195.0,40530.0
609,20,Video,G,10,44376.0,46077.0
610,20,Video,AG,12,49626.0,51630.0
611,20,Video,A,5,55305.0,56967.0
612,20,Video,A,6,61026.0,62475.0
613,20,Video,AG,4,65985.0,67656.0
614,20,Video,G,15,70806.0,72666.0
615,20,Video,A,3,76500.0,78081.0
616,20,Video,G,1,81525.0,83700.0
617,20,Video,A,8,87180.0,89289.0
618,20,Video,AG,7,92964.0,95139.0
619,20,Video,AG,13,98700.0,100806.0
620,20,Video,AG,2,103911.0,105891.0
621,20,Video,control,16,109365.0,111006.0
622,20,Video,AG,9,114546.0,116196.0
623,20,Video,A,11,119406.0,120906.0
624,20,Video,G,1,124815.0,126900.0
625,20,Video,G,15,130716.0,132726.0
626,20,Video,A,6,136026.0,137799.0
627,20,Video,A,3,141111.0,142725.0
628,20,Video,AG,14,146145.0,147705.0
629,20,Video,AG,4,151605.0,153201.0
630,20,Video,control,16,156945.0,158559.0
631,20,Video,AG,2,162471.0,164571.0
632,20,Video,A,8,167895.0,169620.0
633,20,Video,A,11,173004.0,174750.0
634,20,Video,AG,7,178431.0,180594.0
635,20,Video,A,5,184146.0,186216.0
636,20,Video,AG,9,189426.0,191031.0
637,20,Video,G,10,194676.0,196731.0
638,20,Video,AG,13,200565.0,202224.0
639,20,Video,AG,12,206091.0,208254.0
640,21,Video,A,6,35259.0,36408.0
641,21,Video,AG,4,41007.0,42603.0
642,21,Video,AG,13,45891.0,0.0
643,21,Video,AG,9,51516.0,53058.0
644,21,Video,AG,12,56838.0,57723.0
645,21,Video,A,8,62088.0,64137.0
646,21,Video,control,16,67566.0,68736.0
647,21,Video,AG,14,72627.0,0.0
648,21,Video,AG,7,77478.0,78642.0
649,21,Video,G,1,83223.0,0.0
650,21,Video,AG,2,88773.0,0.0
651,21,Video,A,5,94473.0,0.0
652,21,Video,G,15,99651.0,0.0
653,21,Video,G,10,105267.0,107043.0
654,21,Video,A,3,110841.0,0.0
655,21,Video,A,11,115848.0,117468.0
656,21,Video,AG,9,120726.0,121773.0
657,21,Video,A,11,126036.0,126618.0
658,21,Video,G,1,130866.0,133047.0
659,21,Video,AG,7,136728.0,137487.0
660,21,Video,G,15,142311.0,144363.0
661,21,Video,AG,13,147693.0,153297.0
662,21,Video,A,5,152481.0,159237.0
663,21,Video,A,8,157881.0,0.0
664,21,Video,AG,12,162783.0,0.0
665,21,Video,AG,2,168246.0,169131.0
666,21,Video,A,6,173613.0,0.0
667,21,Video,control,16,178638.0,0.0
668,21,Video,AG,4,183762.0,0.0
669,21,Video,A,3,188697.0,0.0
670,21,Video,G,10,193716.0,0.0
671,21,Video,AG,14,199026.0,0.0
672,21,Text,AG,13,52053.0,54318.0
673,21,Text,G,15,57345.0,57597.0
674,21,Text,AG,9,60750.0,63714.0
675,21,Text,A,3,66558.0,68250.0
676,21,Text,AG,4,70404.0,72105.0
677,21,Text,AG,7,75495.0,76689.0
678,21,Text,control,16,80673.0,81273.0
679,21,Text,A,6,83175.0,84183.0
680,21,Text,A,5,86862.0,87468.0
681,21,Text,A,11,90798.0,92049.0
682,21,Text,G,1,94497.0,95949.0
683,21,Text,AG,2,98124.0,98919.0
684,21,Text,AG,14,100644.0,101529.0
685,21,Text,A,8,106122.0,107829.0
686,21,Text,AG,12,112137.0,112713.0
687,21,Text,G,10,114528.0,115254.0
688,21,Text,A,8,116814.0,117588.0
689,21,Text,G,10,119904.0,120894.0
690,21,Text,A,5,122853.0,124728.0
691,21,Text,control,16,129123.0,129927.0
692,21,Text,G,15,131694.0,132897.0
693,21,Text,AG,12,134529.0,135003.0
694,21,Text,AG,7,136962.0,137769.0
695,21,Text,AG,4,139707.0,140403.0
696,21,Text,G,1,142419.0,143514.0
697,21,Text,AG,2,145263.0,145908.0
698,21,Text,AG,14,147618.0,148224.0
699,21,Text,A,11,150018.0,150549.0
700,21,Text,AG,13,152253.0,152868.0
701,21,Text,AG,9,154488.0,154947.0
702,21,Text,A,6,158679.0,159258.0
703,21,Text,A,3,161787.0,162333.0
704,22,Video,AG,9,36027.0,37494.0
705,22,Video,AG,13,41799.0,43257.0
706,22,Video,A,8,47439.0,0.0
707,22,Video,A,6,53328.0,0.0
708,22,Video,G,15,58422.0,60132.0
709,22,Video,A,11,64053.0,64707.0
710,22,Video,G,1,69348.0,71334.0
711,22,Video,G,10,75144.0,0.0
712,22,Video,AG,12,80727.0,0.0
713,22,Video,A,3,86529.0,87444.0
714,22,Video,AG,14,91689.0,0.0
715,22,Video,AG,7,96903.0,97638.0
716,22,Video,AG,4,102387.0,103527.0
717,22,Video,A,5,107709.0,108444.0
718,22,Video,AG,2,113013.0,113592.0
719,22,Video,control,16,118347.0,119352.0
720,22,Video,G,10,123828.0,0.0
721,22,Video,AG,13,129648.0,130332.0
722,22,Video,AG,7,134829.0,135927.0
723,22,Video,AG,12,140442.0,141582.0
724,22,Video,A,5,145869.0,147213.0
725,22,Video,A,8,151398.0,152262.0
726,22,Video,A,3,156783.0,0.0
727,22,Video,AG,14,161493.0,162228.0
728,22,Video,A,11,166248.0,0.0
729,22,Video,AG,4,171678.0,0.0
730,22,Video,G,1,176946.0,0.0
731,22,Video,AG,2,183066.0,0.0
732,22,Video,control,16,188397.0,0.0
733,22,Video,A,6,193647.0,194397.0
734,22,Video,AG,9,199263.0,0.0
735,22,Video,G,15,204282.0,0.0
736,22,Text,AG,9,39510.0,41046.0
737,22,Text,A,6,46056.0,47052.0
738,22,Text,A,3,48876.0,49722.0
739,22,Text,G,1,51510.0,53652.0
740,22,Text,AG,13,55425.0,56805.0
741,22,Text,G,15,58356.0,61377.0
742,22,Text,G,10,63126.0,65385.0
743,22,Text,A,8,67497.0,68292.0
744,22,Text,AG,4,70092.0,70746.0
745,22,Text,A,5,72792.0,73476.0
746,22,Text,AG,14,76785.0,77586.0
747,22,Text,control,16,79626.0,80385.0
748,22,Text,AG,7,82722.0,83802.0
749,22,Text,A,11,86022.0,86835.0
750,22,Text,AG,12,88875.0,89457.0
751,22,Text,AG,2,91326.0,92205.0
752,22,Text,AG,4,93912.0,94986.0
753,22,Text,A,11,98607.0,99402.0
754,22,Text,control,16,101391.0,101997.0
755,22,Text,G,15,103770.0,105675.0
756,22,Text,G,10,108330.0,110145.0
757,22,Text,AG,7,111762.0,112542.0
758,22,Text,AG,14,114315.0,114915.0
759,22,Text,A,6,116721.0,117411.0
760,22,Text,G,1,119172.0,120207.0
761,22,Text,AG,12,121956.0,122670.0
762,22,Text,AG,2,124431.0,125007.0
763,22,Text,AG,13,126582.0,127317.0
